record_no,source_row,video_id,task,question_id,question,nif,timestamp
1,2,movie101_55,1_plotQA,,What is the first expression of the person in the gray suit jacket after receiving the item from the little girl in front of the ruins?,1,151
2,3,movie101_55,1_plotQA,,Why is the person in the gray suit jacket standing at the door of the ward?,2,3;5
3,4,movie101_56,1_plotQA,,What color is the man's clothes when he arrives at the woman's house?,1,164
4,5,movie101_56,1_plotQA,,What is on the woman's table that makes the man angry?,1,188
5,6,movie101_56,1_plotQA,,What is the man's emotion at the beginning?,1,99
6,7,movie101_104,1_plotQA,,What is the girl's reaction after the phone call at the beginning of the video?,1,4
7,8,movie101_104,1_plotQA,,What is the girl with glasses' mood after receiving the letter for the second time?,2,60;61
8,9,movie101_104,1_plotQA,,Why does the girl with glasses run downstairs in a hurry?,3,276;300;314
9,10,xiaoliyu_3,1_plotQA,,What did the cartoon dragon do when the lava flowed into the sea?,3,211;258;268
10,11,xiaoliyu_3,1_plotQA,,What did the cartoon dragon turn into after flying into the volcano?,1,301
11,12,xiaoliyu_3,1_plotQA,,What did the cartoon snake place on the ground?,1,36
12,13,haimian_7,1_plotQA,,What does the Cartoon Sponge do with the Cartoon Shark?,1,123
13,14,haimian_7,1_plotQA,,What do the other cartoon animals do to the Cartoon Shark and Cartoon Sponge?,1,191
14,15,haimian_7,1_plotQA,,Why did the Cartoon Sponge turn into a sphere?,2,180;181
15,16,haimian_7,1_plotQA,,Why is the Cartoon Octopus angry?,1,394
16,17,movie101_14,1_plotQA,,What color are the pants worn by the woman standing at the door in the video?,1,160
17,18,movie101_14,1_plotQA,,What color is the bag on the table in the video?,1,155
18,19,movie101_14,1_plotQA,,What color is the long skirt worn by the girl in the video?,1,108
19,20,movie101_14,1_plotQA,,What color is the suit worn by the man holding a concert in the video?,1,19
20,21,movie101_15,1_plotQA,,What color is the animal that appears in the video?,1,1
21,22,movie101_15,1_plotQA,,What color is the hair of the person who gets spit on by the llama in the video?,1,44
22,23,movie101_15,1_plotQA,,What color is the suit the girl is wearing at the end of the video?,1,395
23,24,movie101_15,1_plotQA,,What color is the table in the boys' dormitory in the video?,1,106
24,25,movie101_34,1_plotQA,,How many candles are lit in the video?,1,260
25,26,movie101_34,1_plotQA,,What color is the girl's hair in the video?,1,66
26,27,movie101_34,1_plotQA,,What color is the hair of the boy buying things in the convenience store in the video?,1,622
27,28,movie101_34,1_plotQA,,What color is the hoodie that the boy in the video is wearing?,1,187
28,29,movie101_36,1_plotQA,,"In the scene where two people are looking at each other in the woods, what color is the coat worn by the girl?",1,120
29,30,movie101_36,1_plotQA,,What color is the hat worn by the girl being rescued in the hospital in the video?,1,136
30,31,movie101_36,1_plotQA,,What color is the scarf worn by the girl playing in the snow in a plaid shirt in the video?,1,58
31,32,movie101_36,1_plotQA,,What color is the top worn by the woman holding a white cloth in her hand?,1,2
32,33,tomjerry_10,1_plotQA,,What does the cartoon big mouse use to help the cartoon little mouse climb the table?,2,148;154
33,34,tomjerry_10,1_plotQA,,What is the cartoon big mouse taking the cartoon little mouse to do?,2,176;243
34,35,tomjerry_10,1_plotQA,,Why did the cartoon little mouse turn into a sphere?,2,246;248
35,36,tomjerry_10,1_plotQA,,Why does the cartoon little mouse want to eat the cheese on the clip?,3,33;56;61
